"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.028,0.178,0.741,1.434,1,29687
"Sigma2[2,1]",-0.768,0.156,-1.118,-0.511,1,28915
"Sigma2[1,2]",-0.768,0.156,-1.118,-0.511,1,28915
"Sigma2[2,2]",1.029,0.177,0.738,1.429,1,28821
"mu[1]",0,0.12,-0.235,0.236,1,8423
"mu[2]",0,0.12,-0.234,0.236,1,8448
