"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",2.855,12.935,0.317,14.102,1.13,12448
"Sigma2[2,1]",-1.921,8.509,-10.746,0.515,1.09,11231
"Sigma2[1,2]",-1.921,8.509,-10.746,0.515,1.09,11231
"Sigma2[2,2]",2.846,9.848,0.318,14.792,1.07,11516
"mu[1]",-0.04,0.954,-1.969,1.761,1.01,3130
"mu[2]",0.036,0.955,-1.749,1.979,1.01,3106
