"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",2.802,8.711,0.324,14.544,1.08,10696
"Sigma2[2,1]",-1.864,6.502,-10.858,0.549,1.12,7657
"Sigma2[1,2]",-1.864,6.502,-10.858,0.549,1.12,7657
"Sigma2[2,2]",2.786,7.869,0.322,13.92,1.12,8176
"mu[1]",-0.007,0.934,-1.906,1.925,1.01,3606
"mu[2]",0.004,0.941,-1.915,1.872,1.02,3656
