"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.03,0.178,0.74,1.431,1,30000
"Sigma2[2,1]",-0.768,0.156,-1.12,-0.509,1,29716
"Sigma2[1,2]",-0.768,0.156,-1.12,-0.509,1,29716
"Sigma2[2,2]",1.028,0.177,0.739,1.43,1,29504
"mu[1]",0.001,0.122,-0.238,0.24,1,8199
"mu[2]",-0.001,0.122,-0.241,0.236,1,8162
