"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.068,0.288,0.64,1.756,1,5612
"Sigma2[2,1]",-0.714,0.245,-1.315,-0.348,1,5690
"Sigma2[1,2]",-0.714,0.245,-1.315,-0.348,1,5690
"Sigma2[2,2]",1.074,0.294,0.647,1.78,1,5729
"mu[1]",0.005,0.188,-0.359,0.377,1,2249
"mu[2]",-0.003,0.189,-0.371,0.371,1,2366
