"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.05,0.239,0.69,1.615,1,5495
"Sigma2[2,1]",-0.825,0.215,-1.335,-0.489,1,5509
"Sigma2[1,2]",-0.825,0.215,-1.335,-0.489,1,5509
"Sigma2[2,2]",1.048,0.242,0.676,1.602,1,5362
"mu[1]",0,0.155,-0.304,0.31,1,1408
"mu[2]",-0.001,0.155,-0.306,0.31,1,1452
