"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.046,0.223,0.694,1.567,1,6000
"Sigma2[2,1]",-0.813,0.2,-1.267,-0.496,1,5738
"Sigma2[1,2]",-0.813,0.2,-1.267,-0.496,1,5738
"Sigma2[2,2]",1.046,0.223,0.695,1.561,1,5375
"mu[1]",-0.006,0.145,-0.292,0.277,1,1434
"mu[2]",0.006,0.144,-0.278,0.293,1,1489
