"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.082,0.325,0.622,1.877,1,5663
"Sigma2[2,1]",-0.812,0.288,-1.512,-0.395,1,5574
"Sigma2[1,2]",-0.812,0.288,-1.512,-0.395,1,5574
"Sigma2[2,2]",1.085,0.332,0.619,1.894,1,5496
"mu[1]",-0.005,0.201,-0.399,0.384,1,1523
"mu[2]",0.004,0.2,-0.385,0.403,1,1497
