"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.054,0.267,0.658,1.71,1,5694
"Sigma2[2,1]",-0.528,0.21,-1.013,-0.188,1,5166
"Sigma2[1,2]",-0.528,0.21,-1.013,-0.188,1,5166
"Sigma2[2,2]",1.058,0.271,0.66,1.722,1,4824
"mu[1]",0.001,0.174,-0.335,0.349,1,3090
"mu[2]",-0.003,0.172,-0.347,0.334,1,3317
