"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.051,0.235,0.686,1.599,1,5872
"Sigma2[2,1]",-0.553,0.185,-0.974,-0.255,1,6147
"Sigma2[1,2]",-0.553,0.185,-0.974,-0.255,1,6147
"Sigma2[2,2]",1.048,0.233,0.688,1.606,1,5601
"mu[1]",0.002,0.152,-0.305,0.298,1,3675
"mu[2]",-0.004,0.152,-0.306,0.291,1,3321
