"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.048,0.231,0.684,1.583,1.01,6000
"Sigma2[2,1]",-0.551,0.184,-0.983,-0.258,1,5426
"Sigma2[1,2]",-0.551,0.184,-0.983,-0.258,1,5426
"Sigma2[2,2]",1.045,0.234,0.683,1.597,1,5815
"mu[1]",0,0.154,-0.298,0.297,1,3257
"mu[2]",-0.001,0.153,-0.298,0.303,1,3321
