"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.06,0.262,0.666,1.672,1,6000
"Sigma2[2,1]",-0.489,0.199,-0.946,-0.16,1,6162
"Sigma2[1,2]",-0.489,0.199,-0.946,-0.16,1,6162
"Sigma2[2,2]",1.056,0.258,0.668,1.691,1,5122
"mu[1]",-0.004,0.168,-0.336,0.324,1,3778
"mu[2]",0,0.167,-0.324,0.334,1,3644
