"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.047,0.234,0.689,1.594,1,5839
"Sigma2[2,1]",-0.593,0.191,-1.027,-0.286,1,5492
"Sigma2[1,2]",-0.593,0.191,-1.027,-0.286,1,5492
"Sigma2[2,2]",1.045,0.237,0.681,1.604,1,5753
"mu[1]",-0.002,0.154,-0.304,0.3,1,3095
"mu[2]",0,0.152,-0.299,0.302,1,2882
