"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.16,0.532,0.53,2.494,1.01,4680
"Sigma2[2,1]",-0.893,0.467,-2.031,-0.328,1.01,4802
"Sigma2[1,2]",-0.893,0.467,-2.031,-0.328,1.01,4802
"Sigma2[2,2]",1.153,0.52,0.536,2.429,1.01,4571
"mu[1]",-0.011,0.292,-0.601,0.555,1,1230
"mu[2]",0.012,0.29,-0.559,0.592,1,1262
