"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.037,0.207,0.701,1.532,1,6000
"Sigma2[2,1]",-0.64,0.173,-1.033,-0.356,1,6000
"Sigma2[1,2]",-0.64,0.173,-1.033,-0.356,1,6000
"Sigma2[2,2]",1.036,0.207,0.712,1.51,1,5756
"mu[1]",0.005,0.137,-0.264,0.279,1,2896
"mu[2]",-0.005,0.136,-0.272,0.261,1,2660
