"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.039,0.205,0.718,1.517,1,5754
"Sigma2[2,1]",-0.662,0.173,-1.062,-0.386,1,6000
"Sigma2[1,2]",-0.662,0.173,-1.062,-0.386,1,6000
"Sigma2[2,2]",1.041,0.206,0.708,1.503,1,6000
"mu[1]",-0.003,0.14,-0.278,0.27,1,2410
"mu[2]",0.003,0.14,-0.274,0.278,1,2440
