"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.167,0.518,0.548,2.493,1,4734
"Sigma2[2,1]",-0.824,0.449,-1.972,-0.267,1,4576
"Sigma2[1,2]",-0.824,0.449,-1.972,-0.267,1,4576
"Sigma2[2,2]",1.165,0.528,0.544,2.478,1,5291
"mu[1]",-0.002,0.29,-0.551,0.591,1,1657
"mu[2]",0.002,0.287,-0.586,0.58,1,1657
