"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.074,0.291,0.644,1.758,1,6000
"Sigma2[2,1]",-0.71,0.245,-1.287,-0.338,1,5778
"Sigma2[1,2]",-0.71,0.245,-1.287,-0.338,1,5778
"Sigma2[2,2]",1.067,0.293,0.654,1.782,1,5742
"mu[1]",0.004,0.184,-0.351,0.364,1,2225
"mu[2]",-0.004,0.184,-0.374,0.357,1,2336
