"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.043,0.206,0.714,1.524,1,6000
"Sigma2[2,1]",-0.641,0.172,-1.018,-0.357,1,5806
"Sigma2[1,2]",-0.641,0.172,-1.018,-0.357,1,5806
"Sigma2[2,2]",1.037,0.204,0.712,1.502,1,5829
"mu[1]",-0.001,0.138,-0.272,0.272,1,2750
"mu[2]",0.002,0.136,-0.268,0.266,1,2614
