"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.162,0.519,0.531,2.484,1,4871
"Sigma2[2,1]",-0.902,0.463,-2.031,-0.33,1,4757
"Sigma2[1,2]",-0.902,0.463,-2.031,-0.33,1,4757
"Sigma2[2,2]",1.166,0.523,0.537,2.38,1,4611
"mu[1]",0.007,0.281,-0.55,0.583,1,1349
"mu[2]",-0.007,0.283,-0.576,0.558,1.01,1342
