"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.037,0.206,0.71,1.512,1,27901
"Sigma2[2,1]",-0.716,0.177,-1.121,-0.43,1,29233
"Sigma2[1,2]",-0.716,0.177,-1.121,-0.43,1,29233
"Sigma2[2,2]",1.038,0.208,0.709,1.519,1,29032
"mu[1]",-0.001,0.138,-0.274,0.272,1,10420
"mu[2]",0.002,0.137,-0.267,0.276,1,10295
