"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.155,0.49,0.542,2.403,1,25641
"Sigma2[2,1]",-0.48,0.368,-1.367,0.071,1,25756
"Sigma2[1,2]",-0.48,0.368,-1.367,0.071,1,25756
"Sigma2[2,2]",1.157,0.496,0.544,2.4,1,26100
"mu[1]",-0.003,0.277,-0.549,0.548,1,18326
"mu[2]",0.002,0.28,-0.55,0.559,1,18831
