"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.083,0.334,0.621,1.909,1,4991
"Sigma2[2,1]",-0.81,0.292,-1.515,-0.39,1,5017
"Sigma2[1,2]",-0.81,0.292,-1.515,-0.39,1,5017
"Sigma2[2,2]",1.083,0.331,0.615,1.899,1,4992
"mu[1]",0,0.203,-0.4,0.403,1,1621
"mu[2]",-0.002,0.203,-0.396,0.401,1,1626
