"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.038,0.209,0.708,1.515,1,29329
"Sigma2[2,1]",-0.715,0.177,-1.121,-0.43,1,30493
"Sigma2[1,2]",-0.715,0.177,-1.121,-0.43,1,30493
"Sigma2[2,2]",1.037,0.205,0.711,1.51,1,30597
"mu[1]",-0.001,0.138,-0.274,0.272,1,10189
"mu[2]",0,0.138,-0.271,0.272,1,10168
