"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.148,0.488,0.544,2.378,1,26661
"Sigma2[2,1]",-0.475,0.36,-1.339,0.069,1,26161
"Sigma2[1,2]",-0.475,0.36,-1.339,0.069,1,26161
"Sigma2[2,2]",1.151,0.482,0.548,2.375,1,26218
"mu[1]",0.003,0.276,-0.544,0.553,1,18342
"mu[2]",-0.002,0.276,-0.549,0.549,1,18567
