"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.05,0.234,0.685,1.598,1,5621
"Sigma2[2,1]",-0.597,0.19,-1.03,-0.28,1,5531
"Sigma2[1,2]",-0.597,0.19,-1.03,-0.28,1,5531
"Sigma2[2,2]",1.052,0.236,0.677,1.588,1,5635
"mu[1]",0.003,0.155,-0.296,0.307,1,3052
"mu[2]",-0.003,0.156,-0.31,0.303,1,3050
