"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.056,0.255,0.667,1.676,1,5936
"Sigma2[2,1]",-0.49,0.201,-0.943,-0.163,1,5813
"Sigma2[1,2]",-0.49,0.201,-0.943,-0.163,1,5813
"Sigma2[2,2]",1.059,0.259,0.661,1.677,1,5908
"mu[1]",-0.006,0.169,-0.344,0.325,1,3665
"mu[2]",0.004,0.171,-0.328,0.334,1.01,3431
