"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.039,0.209,0.713,1.511,1,5871
"Sigma2[2,1]",-0.664,0.175,-1.067,-0.382,1,5682
"Sigma2[1,2]",-0.664,0.175,-1.067,-0.382,1,5682
"Sigma2[2,2]",1.041,0.207,0.711,1.529,1,6098
"mu[1]",0,0.137,-0.267,0.269,1,2399
"mu[2]",-0.003,0.137,-0.278,0.269,1,2605
