"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.165,0.508,0.535,2.449,1,5269
"Sigma2[2,1]",-0.824,0.435,-1.912,-0.262,1,5510
"Sigma2[1,2]",-0.824,0.435,-1.912,-0.262,1,5510
"Sigma2[2,2]",1.171,0.512,0.543,2.483,1,5516
"mu[1]",0.008,0.288,-0.561,0.571,1,1848
"mu[2]",-0.011,0.289,-0.577,0.566,1,1836
