"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.033,0.19,0.729,1.462,1,28385
"Sigma2[2,1]",-0.54,0.151,-0.876,-0.286,1,28702
"Sigma2[1,2]",-0.54,0.151,-0.876,-0.286,1,28702
"Sigma2[2,2]",1.033,0.19,0.726,1.464,1,29412
"mu[1]",0,0.128,-0.25,0.252,1,16170
"mu[2]",-0.001,0.128,-0.252,0.251,1,15875
