"","mean","sd","2.5%","97.5%","Rhat","n.eff"
"Sigma2[1,1]",1.123,0.424,0.568,2.177,1,27043
"Sigma2[2,1]",-0.417,0.313,-1.172,0.08,1,25411
"Sigma2[1,2]",-0.417,0.313,-1.172,0.08,1,25411
"Sigma2[2,2]",1.124,0.427,0.572,2.179,1,26711
"mu[1]",0,0.249,-0.497,0.49,1,20290
"mu[2]",-0.001,0.25,-0.491,0.495,1,20744
